J1,J2,J3,J4,J5,J6,floor_clear_mm,self_clear_mm,self_target,collision
90,172.6,21.1,19.3,106.1,134.2,18.2,32.7,wrist.b.stl,0
90,152.7,168.4,177,72,68.5,50.0,32.3,wrist.b.stl,0
90,26.6,123.3,118.2,155.2,17.5,28.3,23.5,wrist.b.stl,0
90,89.6,104.6,43.5,30.4,154.7,50.0,25.9,wrist.b.stl,0
90,10.5,84.7,20.9,82.3,176.4,50.0,33.8,wrist.b.stl,0
90,76.3,154.3,21.1,48.8,72.7,50.0,26.3,wrist.b.stl,0
90,72,120.8,62,128.5,115.1,50.0,22.7,wrist.b.stl,0
90,71.8,77.7,110.6,12.6,148,50.0,28.6,wrist.b.stl,0
90,117.6,130.7,96.6,19.9,72.9,50.0,22.7,wrist.b.stl,0
90,73,57.8,5.4,132.7,19.8,50.0,22.5,wrist.b.stl,0
90,109.1,126.6,114.3,172.6,18.6,50.0,25.3,wrist.b.stl,0
90,156.1,5.3,96.3,72.8,94.4,-32.3,20.2,base.stl,1
90,65.7,34.3,3.4,93.3,151.7,50.0,34.3,wrist.b.stl,0
90,67.2,40.1,14.5,15.4,39.9,50.0,27.6,wrist.b.stl,0
90,18,47.7,11.9,11.8,154.1,50.0,28.2,wrist.b.stl,0
90,29.2,100.7,139.2,82.2,27.6,50.0,30.7,wrist.b.stl,0
90,35.9,77.9,95.1,62.9,140.7,50.0,25.5,wrist.b.stl,0
90,135.2,166.9,5.2,161.2,70.7,50.0,-16.9,elbow.b.stl,1
90,158.1,124.3,177.7,136.7,65.6,50.0,24.6,wrist.b.stl,0
90,90.2,67.8,65.7,47,89.3,50.0,21.2,wrist.b.stl,0
90,122.7,49.9,94.4,21.1,28.8,50.0,25.3,wrist.b.stl,0
90,8.4,174.7,0.7,32.1,110.3,-145.2,20.6,wrist.b.stl,1
90,14.6,158.7,129.5,174,91.4,-133.6,24.2,wrist.b.stl,1
90,54.1,98.9,167.5,93.7,48.1,50.0,34.5,wrist.b.stl,0
90,157.9,66.9,0.2,44.6,57.3,50.0,26.3,wrist.b.stl,0
90,154.6,82.5,80,60.5,158.5,50.0,31.0,wrist.b.stl,0
90,170.1,178.5,67.8,173.9,142.5,50.0,27.8,wrist.b.stl,0
90,121.6,44.1,39,29.9,166.1,50.0,26.1,wrist.b.stl,0
90,52.9,81.6,88.9,140.1,152,50.0,26.1,wrist.b.stl,0
90,25,76.8,151.7,147.2,18.4,50.0,22.1,wrist.b.stl,0
90,28.1,54.8,13.6,76.4,19.4,50.0,29.9,wrist.b.stl,0
90,102.3,44.4,107.4,21.2,175.7,50.0,28.0,wrist.b.stl,0
90,167.9,70.5,43.6,45.1,87,50.0,21.1,wrist.b.stl,0
90,7.2,115.1,73.5,67.9,145.7,17.0,27.8,wrist.b.stl,0
90,127.6,171.8,63.3,161.6,138.6,50.0,24.8,wrist.b.stl,0
90,64.3,111.9,51.9,157.4,20.2,50.0,23.7,wrist.b.stl,0
90,38.2,32.9,72.5,134.1,94.8,50.0,21.1,wrist.b.stl,0
90,87.8,0.1,76.6,11.4,37.5,50.0,27.0,wrist.b.stl,0
90,167.8,38.8,154.5,144.5,28.6,-48.0,22.2,wrist.b.stl,1
90,109,20.8,131,114.7,146.1,50.0,29.6,wrist.b.stl,0
90,86.3,164.7,8.9,52.7,128.7,50.0,21.9,wrist.b.stl,0
90,75.3,31.1,19.3,147.1,85.2,50.0,21.6,wrist.b.stl,0
90,158.8,132,73.8,67.2,92.8,50.0,26.9,wrist.b.stl,0
90,160,132.7,0.9,124.9,165.5,50.0,27.6,wrist.b.stl,0
90,127.9,31.9,87,25.3,64.6,33.8,23.4,wrist.b.stl,0
90,168.7,166.2,50.9,61.1,108,50.0,23.9,wrist.b.stl,0
90,173.4,26.6,46.2,157.2,88.5,-23.3,22.9,wrist.b.stl,1
90,161.8,33.4,95.9,58.7,57,-36.4,29.2,wrist.b.stl,1
90,80.4,78,64.3,164.7,131.7,50.0,24.4,wrist.b.stl,0
90,131,52.2,104,140.3,143.2,50.0,26.9,wrist.b.stl,0
90,62,138.8,132.5,25.5,155.9,50.0,26.5,wrist.b.stl,0
90,79.4,87.6,80.7,102.2,111.8,50.0,29.1,wrist.b.stl,0
90,89.7,156,113,72.3,75,50.0,30.9,wrist.b.stl,0
90,146,62.7,38.1,10.7,157.7,50.0,28.1,wrist.b.stl,0
90,165.3,21.6,60.2,31.6,20.9,-114.0,22.6,wrist.b.stl,1
